"Variable";"Stats";"Para";"m0";"m1";"m2"
"Intercept";"mean";"Full";"0.635";"0.598";"-2.382"
"Intercept";"sd";"Full";"(0.087)";"(0.077)";"(0.236)"
"HP";"mean";"Full";"0.136";"0.006";
"HP";"sd";"Full";"(0.017)";"(0.013)";
"T2E_ZS";"mean";"Full";"-0.11";"-0.072";
"T2E_ZS";"sd";"Full";"(0.012)";"(0.013)";
"RVPI-1";"mean";"Full";"0.218";;"-0.414"
"RVPI-1";"sd";"Full";"(0.166)";;"(0.213)"
"PEM-1";"mean";"Full";"0.928";"0.817";"1.082"
"PEM-1";"sd";"Full";"(0.108)";"(0.116)";"(0.239)"
"HYS";"mean";"Full";"-6.095";"-3.579";"-8.624"
"HYS";"sd";"Full";"(1.225)";"(1.033)";"(3.767)"
"Shape";"mean";"Full";;"1.009";
"Shape";"sd";"Full";;"(0.05)";
"AIC";"mean";"Full";"3024.109";"2429.269";"3024.109"
"AIC";"sd";"Full";"(32.144)";"(31.516)";"(32.144)"
"Intercept";"mean";"IO";"0.339";"0.338";"-2.586"
"Intercept";"sd";"IO";"(0.013)";"(0.022)";"(0.07)"
"Shape";"mean";"IO";;"0.967";
"Shape";"sd";"IO";;"(0.048)";
"AIC";"mean";"IO";"3129.35";"2456.628";"3129.35"
"AIC";"sd";"IO";"(26.102)";"(30.184)";"(26.102)"
