"Variable";"Stats";"Type";"Value.WB_only";"Value.Full";"Value.HYS_Age";"Value.MSCI_Age";"Value.Age"
"MSCI";"Mean";"BO";;"1.892";;"2.478";
"MSCI";"SD";"BO";;"(1.084)";;"(0.959)";
"HYS";"Mean";"BO";;"-3.071";"-3.588";;
"HYS";"SD";"BO";;"(1.076)";"(1.051)";;
"FundAge";"Mean";"BO";;"0.086";"0.085";"0.088";"0.088"
"FundAge";"SD";"BO";;"(0.014)";"(0.014)";"(0.014)";"(0.014)"
"Scale";"Mean";"BO";"6.287";"6.44";"6.261";"7.221";"7.13"
"Scale";"SD";"BO";"(0.099)";"(0.308)";"(0.285)";"(0.19)";"(0.182)"
"Shape";"Mean";"BO";"1.617";"1.651";"1.652";"1.654";"1.657"
"Shape";"SD";"BO";"(0.033)";"(0.034)";"(0.034)";"(0.034)";"(0.034)"
"AIC";"Mean";"BO";"12646.675";"12597.642";"12598.693";"12604.396";"12609.363"
"MSCI";"Mean";"VC";;"5.201";;"5.169";
"MSCI";"SD";"VC";;"(0.756)";;"(0.775)";
"HYS";"Mean";"VC";;"0.651";"-0.43";;
"HYS";"SD";"VC";;"(0.674)";"(0.67)";;
"FundAge";"Mean";"VC";;"0.036";"0.037";"0.036";"0.037"
"FundAge";"SD";"VC";;"(0.01)";"(0.01)";"(0.01)";"(0.01)"
"Scale";"Mean";"VC";"6.705";"7.554";"6.977";"7.355";"7.1"
"Scale";"SD";"VC";"(0.091)";"(0.269)";"(0.24)";"(0.165)";"(0.149)"
"Shape";"Mean";"VC";"1.473";"1.474";"1.482";"1.474";"1.482"
"Shape";"SD";"VC";"(0.024)";"(0.024)";"(0.024)";"(0.024)";"(0.024)"
"AIC";"Mean";"VC";"21112.526";"21057.757";"21103.173";"21056.677";"21101.588"
